"id";"digit_code";"rate_date";"rdiff"
1;"36";2021-10-16;0
2;"944";2021-10-16;0
3;"51";2021-10-16;0
4;"933";2021-10-16;0
5;"975";2021-10-16;0
6;"986";2021-10-16;0
7;"348";2021-10-16;0
8;"410";2021-10-16;0
9;"344";2021-10-16;0
10;"208";2021-10-16;0
11;"840";2021-10-16;0
12;"978";2021-10-16;0
13;"356";2021-10-16;0
14;"398";2021-10-16;0
15;"124";2021-10-16;0
16;"417";2021-10-16;0
17;"156";2021-10-16;0
18;"498";2021-10-16;0
19;"934";2021-10-16;0
20;"578";2021-10-16;0
21;"985";2021-10-16;0
22;"946";2021-10-16;0
23;"960";2021-10-16;0
24;"702";2021-10-16;0
25;"972";2021-10-16;0
26;"949";2021-10-16;0
27;"860";2021-10-16;0
28;"980";2021-10-16;0
29;"826";2021-10-16;0
30;"203";2021-10-16;0
31;"752";2021-10-16;0
32;"756";2021-10-16;0
33;"710";2021-10-16;0
34;"392";2021-10-16;0
35;"36";2021-10-17;0.0
36;"944";2021-10-17;0.0
37;"51";2021-10-17;0.0
38;"933";2021-10-17;0
39;"975";2021-10-17;0.0
40;"986";2021-10-17;0.0
41;"348";2021-10-17;0
42;"410";2021-10-17;0.0
43;"344";2021-10-17;0.0
44;"208";2021-10-17;0.0
45;"840";2021-10-17;0.0
46;"978";2021-10-17;0.0
47;"356";2021-10-17;0
48;"398";2021-10-17;0.0
49;"124";2021-10-17;0.0
50;"417";2021-10-17;0
51;"156";2021-10-17;0.0
52;"498";2021-10-17;0.0
53;"934";2021-10-17;0.0
54;"578";2021-10-17;0.0
55;"985";2021-10-17;0.0
56;"946";2021-10-17;0.0
57;"960";2021-10-17;0.0
58;"702";2021-10-17;0.0
59;"972";2021-10-17;0
60;"949";2021-10-17;0.0
61;"860";2021-10-17;0.0
62;"980";2021-10-17;0
63;"826";2021-10-17;0.0
64;"203";2021-10-17;0.0
65;"752";2021-10-17;0.0
66;"756";2021-10-17;0.0
67;"710";2021-10-17;0.0
68;"392";2021-10-17;0.0
69;"36";2021-10-18;0.0
70;"944";2021-10-18;0.0
71;"51";2021-10-18;0.0
72;"933";2021-10-18;0
73;"975";2021-10-18;0.0
74;"986";2021-10-18;0.0
75;"348";2021-10-18;0
76;"410";2021-10-18;0.0
77;"344";2021-10-18;0.0
78;"208";2021-10-18;0.0
79;"840";2021-10-18;0.0
80;"978";2021-10-18;0.0
81;"356";2021-10-18;0
82;"398";2021-10-18;0.0
83;"124";2021-10-18;0.0
84;"417";2021-10-18;0
85;"156";2021-10-18;0.0
86;"498";2021-10-18;0.0
87;"934";2021-10-18;0.0
88;"578";2021-10-18;0.0
89;"985";2021-10-18;0.0
90;"946";2021-10-18;0.0
91;"960";2021-10-18;0.0
92;"702";2021-10-18;0.0
93;"972";2021-10-18;0
94;"949";2021-10-18;0.0
95;"860";2021-10-18;0.0
96;"980";2021-10-18;0
97;"826";2021-10-18;0.0
98;"203";2021-10-18;0.0
99;"752";2021-10-18;0.0
100;"756";2021-10-18;0.0
101;"710";2021-10-18;0.0
102;"392";2021-10-18;0.0
103;"36";2021-10-19;-0.3
104;"944";2021-10-19;0.0
105;"51";2021-10-19;0.0
106;"933";2021-10-19;0.1
107;"975";2021-10-19;-0.1
108;"986";2021-10-19;0.1
109;"348";2021-10-19;-0.1
110;"410";2021-10-19;-0.3
111;"344";2021-10-19;-0.1
112;"208";2021-10-19;0.0
113;"840";2021-10-19;0.0
114;"978";2021-10-19;-0.2
115;"356";2021-10-19;-0.5
116;"398";2021-10-19;0.0
117;"124";2021-10-19;-0.3
118;"417";2021-10-19;-0.1
119;"156";2021-10-19;0.0
120;"498";2021-10-19;0.0
121;"934";2021-10-19;0.0
122;"578";2021-10-19;-0.4
123;"985";2021-10-19;-0.1
124;"946";2021-10-19;0.0
125;"960";2021-10-19;-0.1
126;"702";2021-10-19;-0.2
127;"972";2021-10-19;-0.1
128;"949";2021-10-19;-0.8
129;"860";2021-10-19;0.0
130;"980";2021-10-19;0
131;"826";2021-10-19;-0.1
132;"203";2021-10-19;-0.2
133;"752";2021-10-19;-0.3
134;"756";2021-10-19;-0.3
135;"710";2021-10-19;-0.2
136;"392";2021-10-19;-0.2
137;"36";2021-10-20;0.4
138;"944";2021-10-20;-0.1
139;"51";2021-10-20;0.0
140;"933";2021-10-20;0.0
141;"975";2021-10-20;0.1
142;"986";2021-10-20;-0.1
143;"348";2021-10-20;0.1
144;"410";2021-10-20;0.2
145;"344";2021-10-20;-0.3
146;"208";2021-10-20;0.0
147;"840";2021-10-20;-0.2
148;"978";2021-10-20;0.2
149;"356";2021-10-20;0.1
150;"398";2021-10-20;0.0
151;"124";2021-10-20;0.2
152;"417";2021-10-20;-0.2
153;"156";2021-10-20;0.0
154;"498";2021-10-20;-0.2
155;"934";2021-10-20;-0.1
156;"578";2021-10-20;0.3
157;"985";2021-10-20;0.1
158;"946";2021-10-20;0.0
159;"960";2021-10-20;-0.4
160;"702";2021-10-20;0.1
161;"972";2021-10-20;-0.1
162;"949";2021-10-20;-0.3
163;"860";2021-10-20;-0.2
164;"980";2021-10-20;0
165;"826";2021-10-20;0.1
166;"203";2021-10-20;0.1
167;"752";2021-10-20;0.2
168;"756";2021-10-20;0.2
169;"710";2021-10-20;0.3
170;"392";2021-10-20;0.0
171;"36";2021-10-21;0.2
172;"944";2021-10-21;0.0
173;"51";2021-10-21;0.0
174;"933";2021-10-21;0.0
175;"975";2021-10-21;-0.1
176;"986";2021-10-21;-0.2
177;"348";2021-10-21;-0.2
178;"410";2021-10-21;0.3
179;"344";2021-10-21;0.2
180;"208";2021-10-21;0.0
181;"840";2021-10-21;0.1
182;"978";2021-10-21;-0.1
183;"356";2021-10-21;0.2
184;"398";2021-10-21;0.0
185;"124";2021-10-21;0.0
186;"417";2021-10-21;0.1
187;"156";2021-10-21;0.0
188;"498";2021-10-21;-0.1
189;"934";2021-10-21;0.0
190;"578";2021-10-21;-0.1
191;"985";2021-10-21;-0.1
192;"946";2021-10-21;0.0
193;"960";2021-10-21;0.5
194;"702";2021-10-21;0.1
195;"972";2021-10-21;0.2
196;"949";2021-10-21;-0.1
197;"860";2021-10-21;0.1
198;"980";2021-10-21;0.1
199;"826";2021-10-21;0.2
200;"203";2021-10-21;-0.1
201;"752";2021-10-21;-0.1
202;"756";2021-10-21;-0.2
203;"710";2021-10-21;0.4
204;"392";2021-10-21;-0.1
205;"36";2021-10-22;-0.1
206;"944";2021-10-22;0.0
207;"51";2021-10-22;0.0
208;"933";2021-10-22;0.1
209;"975";2021-10-22;0.0
210;"986";2021-10-22;0.0
211;"348";2021-10-22;-0.1
212;"410";2021-10-22;-0.2
213;"344";2021-10-22;-0.1
214;"208";2021-10-22;0.0
215;"840";2021-10-22;-0.1
216;"978";2021-10-22;0.0
217;"356";2021-10-22;0.0
218;"398";2021-10-22;0.0
219;"124";2021-10-22;-0.1
220;"417";2021-10-22;-0.1
221;"156";2021-10-22;0.0
222;"498";2021-10-22;-0.2
223;"934";2021-10-22;0.0
224;"578";2021-10-22;0.5
225;"985";2021-10-22;0
226;"946";2021-10-22;0.0
227;"960";2021-10-22;-0.2
228;"702";2021-10-22;-0.1
229;"972";2021-10-22;-0.1
230;"949";2021-10-22;0.5
231;"860";2021-10-22;0.1
232;"980";2021-10-22;0.0
233;"826";2021-10-22;0
234;"203";2021-10-22;-0.2
235;"752";2021-10-22;0.2
236;"756";2021-10-22;0.2
237;"710";2021-10-22;0
238;"392";2021-10-22;0.1
